Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2019-01-02;37.377;38.3281;37.2125;38.1048;153504636.16227
2019-01-03;34.7431;35.1588;34.2635;34.3094;378427242.98308
2019-01-04;34.8746;35.8446;34.6991;35.7729;242886638.33635
2019-01-07;35.8786;35.9104;35.2046;35.6911;227016761.01498
2019-01-08;36.0899;36.6342;35.8367;36.3711;170022160.93975
2019-01-09;36.5016;37.2872;36.1059;36.9911;186905169.12981
2019-01-10;36.7988;37.1477;36.399;37.1098;148286657.61026
2019-01-11;36.8915;37.0849;36.5565;36.7479;111993038.94696
2019-01-14;36.397;36.4967;36.0052;36.1976;134438472.12949
2019-01-15;36.2623;37.0091;36.2105;36.9383;118984862.65304
2019-01-16;36.9413;37.6133;36.9214;37.389;126690743.76381
2019-01-17;37.2055;38.043;36.9802;37.6083;123588530.12281
2019-01-18;38.0031;38.0958;37.6352;37.8376;139875145.71967
2019-01-22;37.7389;37.8147;36.8287;36.9891;125962433.01558
2019-01-23;37.1926;37.4378;36.6044;37.1357;95860558.064294
2019-01-24;37.1826;37.2753;36.6144;36.8456;105438003.48708
2019-01-25;37.5216;38.1546;37.2354;38.0679;139033312.75738
2019-01-28;37.5933;37.7209;37.0749;37.7129;108548351.86529
2019-01-29;37.701;38.1546;37.1826;37.3252;172350960.67659
2019-01-30;39.3939;40.0927;38.6671;39.8714;253258672.05329
2019-01-31;40.0837;40.7787;39.7059;40.1625;168838270.80261
2019-02-01;40.2881;40.7737;40.0399;40.1794;135387323.52826
2019-02-04;40.3938;41.4177;40.3658;41.3239;130527864.2112
2019-02-05;41.7128;42.2441;41.5861;42.0278;149616807.51435
2019-02-06;42.1375;42.3628;41.7098;42.0428;117033997.1911
2019-02-07;41.5981;41.973;41.1026;41.2472;131547814.8183
2019-02-08;40.9501;41.3599;40.8105;41.297;98296065.292057
2019-02-11;41.4495;41.4875;41.0149;41.0568;86631992.56391
2019-02-12;41.2202;41.4376;41.1246;41.4107;91955742.760995
2019-02-13;41.5303;41.7975;41.1784;41.2402;92808754.71792
2019-02-14;41.1266;41.5015;41.0458;41.3897;90107938.702442
2019-02-15;41.4975;41.6081;41.1366;41.3;101625620.26406
2019-02-19;41.1266;41.5433;41.0728;41.4197;78293733.430458
2019-02-20;41.4815;42.0029;41.4346;41.6898;107764168.21101
2019-02-21;41.633;41.7706;41.2701;41.4515;71182919.88358
2019-02-22;41.5781;41.9232;41.5283;41.9152;78047492.627313
2019-02-25;42.2013;42.622;42.1495;42.2193;90263140.662061
2019-02-26;42.0926;42.4814;41.965;42.2441;70442355.873951
2019-02-27;41.975;42.4077;41.8594;42.3757;114866210.08376
2019-02-28;42.2411;42.3857;41.9032;41.961;116434432.95311
2019-03-01;42.2311;42.4445;41.8952;42.3997;106822499.65482
2019-03-04;42.5772;43.0766;42.1544;42.616;113218913.75689
2019-03-05;42.639;42.6519;42.294;42.5382;81448923.168494
2019-03-06;42.3259;42.5283;42.1475;42.289;85876649.612427
2019-03-07;42.1295;42.2711;41.6878;41.8035;102325333.04761
2019-03-08;41.2741;41.941;41.0748;41.9012;99036351.456777
2019-03-11;42.5283;43.4016;42.4944;43.3528;132097527.46066
2019-03-12;43.6199;44.266;43.4634;43.8423;133981542.63498
2019-03-13;44.1613;44.4215;43.8453;44.0337;128059578.30549
2019-03-14;44.5631;44.6129;44.239;44.5232;97303784.828165
2019-03-15;44.7934;45.3925;44.5261;45.1024;161115451.18289
2019-03-18;45.0227;45.6548;45.0207;45.563;108199411.75988
2019-03-19;45.6448;45.8013;45.0526;45.2011;130592692.34959
2019-03-20;45.1293;45.9209;44.7634;45.598;128070753.28793
2019-03-21;46.0445;47.5769;45.9957;47.2728;210599149.06627
2019-03-22;47.3346;47.9038;46.229;46.2958;175000526.84443
2019-03-25;46.4104;46.5221;45.2191;45.7415;180933074.35672
2019-03-26;46.4474;46.7405;44.7266;45.2659;205508132.59815
2019-03-27;45.7435;45.9827;45.2071;45.6747;123173259.3098
2019-03-28;45.7933;45.9369;45.4424;45.7365;85752757.86524
2019-03-29;45.9997;46.0575;45.6926;46.0286;97239623.718173
2019-04-01;46.4404;46.4503;45.6528;46.3436;114975865.53926
2019-04-02;46.3058;47.1232;46.2958;47.0186;93945632.894568
2019-04-03;46.8331;47.6197;46.8073;47.3376;96034112.833679
2019-04-04;47.202;47.5869;46.8053;47.4183;78877440.447615
2019-04-05;47.6068;47.7623;47.4781;47.7394;76452507.375208
2019-04-08;47.5998;48.525;47.5799;48.4941;106804046.54002
2019-04-09;48.543;49.1571;48.2807;48.3455;147602091.88797
2019-04-10;48.1451;48.6446;48.0255;48.6148;89528317.108806
2019-04-11;48.6706;48.7054;48.0873;48.2109;86249792.316452
